得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
117.03,113525,台华转债,105.700,-1.16%,台华新材,7.70,-3.75%,1.61,8.110,94.94,11.33%,AA,5.68,10.54,9.0%,24-12-16,5.518,1.62%,1.11%,91.97
117.06,128058,拓邦转债,107.240,-0.41%,拓邦股份,5.41,-0.73%,2.37,5.540,97.65,9.82%,AA,3.88,7.20,10.4%,25-03-07,5.740,2.47%,1.77%,148.92
117.09,123004,铁汉转债,99.400,0.00%,铁汉生态,3.37,-0.30%,1.24,3.990,84.46,17.69%,AA,2.79,5.19,10.5%,23-12-18,4.521,2.37%,1.93%,86.31
117.1,113533,参林转债,114.880,-0.89%,大参林,41.02,-0.73%,6.62,36.500,112.38,2.22%,AA,25.55,47.45,4.7%,25-04-02,5.811,-0.26%,-0.67%,598.28
117.591,123011,德尔转债,96.461,-1.07%,德尔股份,27.84,-1.10%,1.50,34.960,79.63,21.13%,AA-,24.47,45.45,19.0%,24-07-18,5.104,4.06%,3.41%,289.23
117.61,113524,奇精转债,97.910,-0.01%,奇精机械,11.91,-1.73%,2.18,14.560,81.80,19.70%,AA,10.19,18.93,14.3%,24-12-14,5.512,3.56%,2.95%,106.46
117.9,123024,岱勒转债,96.900,0.42%,岱勒新材,19.94,1.84%,2.86,24.900,80.08,21.00%,A+,17.43,32.37,12.8%,24-03-21,4.778,3.39%,2.86%,73.98
117.99,110050,佳都转债,122.280,-0.81%,佳都科技,10.08,-1.18%,3.82,7.890,127.76,-4.29%,AA,5.52,10.26,5.4%,24-12-18,5.523,-1.24%,-1.69%,2207.27
118.00999999999999,123007,道氏转债,101.080,-0.89%,道氏技术,13.14,-1.79%,2.53,15.200,86.45,16.93%,AA-,10.64,19.76,5.0%,23-12-28,4.548,2.33%,1.83%,343.10
118.34,113532,海环转债,99.990,-0.28%,海峡环保,6.59,-0.45%,1.91,7.800,84.49,18.35%,AA,5.46,10.14,15.5%,25-04-01,5.808,2.22%,1.79%,81.12
118.52,128067,一心转债,109.000,-0.32%,一心堂,27.15,-0.62%,3.81,27.280,99.52,9.52%,AA,19.10,35.46,3.9%,25-04-19,5.858,0.66%,0.25%,1473.26
118.58,110043,无锡转债,101.190,0.40%,无锡银行,5.62,-1.23%,0.94,6.520,86.20,17.39%,AA+,-,8.48,28.9%,24-01-30,4.638,1.80%,1.40%,593.74
119.34,110042,航电转债,109.900,-1.07%,中航电子,14.29,-0.90%,3.32,14.230,100.42,9.44%,AAA,9.96,18.50,9.5%,23-12-24,4.537,-0.02%,-0.42%,1309.69
119.82,113504,艾华转债,102.600,0.20%,艾华集团,19.02,-1.45%,3.50,21.730,87.53,17.22%,AA,15.21,28.25,9.3%,24-03-01,4.723,1.67%,1.24%,250.39
119.97,127003,海印转债,112.120,9.28%,海印股份,3.15,10.14%,1.99,3.030,103.96,7.85%,AA,2.12,3.94,16.2%,22-06-08,2.992,0.36%,-0.45%,50475.93
120.002,123019,中来转债,100.422,-0.43%,中来股份,17.14,-0.23%,1.51,20.410,83.98,19.58%,AA-,14.29,26.53,24.5%,25-02-25,5.712,3.98%,3.22%,103.13
120.14999999999999,113008,电气转债,111.850,-0.13%,上海电气,5.36,-0.37%,1.39,5.190,103.28,8.30%,AAA,3.63,6.75,5.6%,21-02-02,1.647,-2.07%,-2.96%,1888.07
120.15,127013,创维转债,97.620,-0.29%,创维数字,9.21,-1.60%,3.14,11.560,79.67,22.53%,AA,8.09,15.03,10.5%,25-04-15,5.847,3.40%,2.83%,496.04
120.47,110049,海尔转债,116.520,-0.54%,青岛海尔,16.31,-0.67%,2.53,14.550,112.10,3.95%,AAA,10.19,17.46,2.9%,24-12-17,5.521,-1.06%,-1.39%,2063.80
120.72200000000001,123021,万信转2,102.322,-1.22%,万达信息,11.77,-2.24%,3.30,13.620,86.42,18.40%,AA,9.53,17.71,9.3%,25-03-03,5.729,2.62%,2.04%,642.39
